number,company_id
2 22679XXX,1
2 22680XXX,1
2 22681XXX,1
2 22682XXX,1
2 22683XXX,1
2 22684XXX,1
2 22685XXX,1
2 22686XXX,1
2 22687XXX,1
2 22688XXX,1
2 22689XXX,1
2 22690XXX,1
2 22691XXX,1
2 22692XXX,1
2 22693XXX,1
2 22694XXX,1
2 22695XXX,1
2 22696XXX,1
2 22697XXX,1
2 22698XXX,1
2 22699XXX,1
2 22700XXX,1
2 22701XXX,1
2 22702XXX,1
2 22703XXX,1
2 22704XXX,1
2 22705XXX,1
2 22706XXX,1
2 22707XXX,1
2 22708XXX,1
2 22709XXX,1
2 22710XXX,1
2 22711XXX,1
2 22712XXX,1
2 22713XXX,1
2 22714XXX,1
2 22715XXX,1
2 22716XXX,1
2 22717XXX,1
2 22718XXX,1
2 22719XXX,1
2 22720XXX,1
2 22721XXX,1
2 22722XXX,1
2 22723XXX,1
2 22724XXX,1
2 22725XXX,1
2 22726XXX,1
2 22727XXX,1
2 22728XXX,1
2 22729XXX,1
2 22730XXX,1
2 22731XXX,1
2 22732XXX,1
2 22733XXX,1
2 22734XXX,1
2 22735XXX,1
2 22736XXX,1
2 22737XXX,1
2 22738XXX,1
2 22739XXX,1
2 22740XXX,1
2 22741XXX,1
2 22742XXX,1
2 22743XXX,1
2 22744XXX,1
2 22745XXX,1
2 22746XXX,1
2 22747XXX,1
2 22748XXX,1
2 22749XXX,1
2 22750XXX,1
2 22751XXX,1
2 22752XXX,1
2 22753XXX,1
2 22754XXX,1
2 22755XXX,1
2 22756XXX,1
2 22757XXX,1
2 22758XXX,1
2 22759XXX,1
2 22760XXX,1
2 22761XXX,1
2 22762XXX,1
2 22763XXX,1
2 22764XXX,1
2 22765XXX,1
2 22766XXX,1
2 22767XXX,1
2 22768XXX,1
2 22769XXX,1
2 22770XXX,1
2 22771XXX,1
2 22772XXX,1
2 22773XXX,1
2 22774XXX,1
2 22775XXX,1
2 22776XXX,1
2 22777XXX,1
2 22778XXX,1
2 22779XXX,1
2 22780XXX,1
2 22781XXX,1
2 22782XXX,1
